source_split,seed,backbone,source_hospital,target_hospital,n_sources,delta_within,delta_cross,hcs,number_expected_runs,number_completed_runs,missing_runs_detail,status,protocol_hash,git_commit,metric,setting,population,within_signed_shift,cross_signed_shift,hce
val,11,resnet50,1,0,9980,0.4029535014177637,0.3002391387578524,-0.1027143626599111,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,11,resnet50,1,3,9929,0.4023380241244979,0.3385054489503827,-0.0638325751741152,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,11,resnet50,1,4,9973,0.4027799357580764,0.2816094807904575,-0.1211704549676189,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,42,resnet50,1,0,9980,0.3355350158109291,0.2352756927939988,-0.1002593230169302,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,42,resnet50,1,3,9929,0.3355317082383187,0.2780108322712449,-0.0575208759670737,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,42,resnet50,1,4,9973,0.3357787925900372,0.2555276076943579,-0.0802511848956792,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,101,resnet50,1,0,9980,0.4411294449917416,0.3299019293185253,-0.1112275156732163,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,101,resnet50,1,3,9929,0.4405509603831596,0.3725921807335457,-0.0679587796496139,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,101,resnet50,1,4,9973,0.4415406685025007,0.3312850278299208,-0.1102556406725798,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,primary,hospital1,,,
val,11,resnet50,1,0,9980,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,primary,hospital1,-0.0462105986650723,0.0845730623653856,0.130783661030458
