source_split,seed,backbone,status,hcs_pair_weighted,n_pairs,expected_pairs,missing_pairs,unexpected_pairs,summary_type,n_unique_sources,delta_within,delta_cross,hcs_common_support,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit,setting,population
val,11,resnet50,complete,-0.0959057976005484,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,complete,-0.079343794626561,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,101,resnet50,complete,-0.0964806453318033,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,complete,,,,,,common_support,9909.0,0.4030316367158416,0.3070703548115077,-0.0959612819043339,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,complete,,,,,,common_support,9909.0,0.3361448371700442,0.2567100115936568,-0.0794348255763873,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,101,resnet50,complete,,,,,,common_support,9909.0,0.4408885797473716,0.3437481232390174,-0.0971404565083542,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,complete,-0.0756523710686476,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,42,resnet50,complete,-0.0546054749407523,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,101,resnet50,complete,-0.1037422966635713,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,11,resnet50,complete,,,,,,common_support,10000.0,0.3865050176594775,0.3108526465908297,-0.0756523710686476,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,42,resnet50,complete,,,,,,common_support,10000.0,0.3165039511570548,0.2618984762163025,-0.0546054749407523,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,101,resnet50,complete,,,,,,common_support,10000.0,0.4575813788694695,0.3538390822058981,-0.1037422966635713,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,11,resnet50,complete,0.0,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,42,resnet50,complete,0.0,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,101,resnet50,complete,0.0,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,11,resnet50,complete,,,,,,common_support,9909.0,7.254349402358053e-10,7.254349402358053e-10,0.0,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,42,resnet50,complete,,,,,,common_support,9909.0,9.670264160055211e-10,9.670264160055211e-10,0.0,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,101,resnet50,complete,,,,,,common_support,9909.0,2.0552533003507447e-10,2.0552533003507447e-10,0.0,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
