source_split,seed,backbone,summary_type,metric,status,n,n_groups,draws,estimate,ci_lower,ci_upper,standard_error,confidence,cluster_columns,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit
val,11,resnet50,pair_weighted,hcs,complete,90000,3,2000,-0.0756523710686475,-0.1100070729299582,-0.0366569157933734,0.0183831809566346,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,pair_weighted,hce,complete,90000,3,2000,0.0530782313128325,-0.1160950485661948,0.1842323260002031,0.0786642987843595,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,common_support,hcs,complete,90000,3,2000,-0.0756523710686475,-0.1100070729299582,-0.0366569157933734,0.0183831809566346,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,common_support,hce,complete,90000,3,2000,0.0530782313128325,-0.1160950485661948,0.1842323260002031,0.0786642987843595,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,pair_weighted,hcs,complete,90000,3,2000,-0.0546054749407523,-0.0835174618797021,-0.0244286883654835,0.0147342090740357,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,pair_weighted,hce,complete,90000,3,2000,0.0854693189639647,-0.0900616396879412,0.2084630692948545,0.0800745728156957,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,common_support,hcs,complete,90000,3,2000,-0.0546054749407523,-0.0835174618797021,-0.0244286883654835,0.0147342090740357,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,common_support,hce,complete,90000,3,2000,0.0854693189639647,-0.0900616396879412,0.2084630692948545,0.0800745728156957,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,pair_weighted,hcs,complete,90000,3,2000,-0.103742296663571,-0.1521661295992638,-0.0668924766302099,0.0209798724564665,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,pair_weighted,hce,complete,90000,3,2000,-0.065691435764881,-0.1863928532569951,0.0662947880179921,0.0637941435663351,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,common_support,hcs,complete,90000,3,2000,-0.103742296663571,-0.1521661295992638,-0.0668924766302099,0.0209798724564665,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,common_support,hce,complete,90000,3,2000,-0.065691435764881,-0.1863928532569951,0.0662947880179921,0.0637941435663351,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
