source_buffer,boundary_mode,feather_width,source_split,seed,backbone,source_hospital,target_hospital,n_sources,hcs,hce,delta_within,delta_cross,setting,population
8,feathered,4,val,11,resnet50,1,0,9980,-0.109385714307825,0.0934098341790844,0.3770295463893166,0.2676438320814916,buffer_r8,hospital1
8,feathered,4,val,11,resnet50,1,3,9929,-0.07547291086076,0.1070984333254336,0.3763779129958463,0.3009050021350862,buffer_r8,hospital1
8,feathered,4,val,11,resnet50,1,4,9973,-0.1180537916757062,-0.0102584404010507,0.3765961400206578,0.2585423483449516,buffer_r8,hospital1
8,feathered,4,val,42,resnet50,1,0,9980,-0.1120190821035859,0.0645204053077801,0.3192686296408615,0.2072495475372755,buffer_r8,hospital1
8,feathered,4,val,42,resnet50,1,3,9929,-0.0805396353726246,0.1084899027575252,0.3195005833291289,0.2389609479565042,buffer_r8,hospital1
8,feathered,4,val,42,resnet50,1,4,9973,-0.0956703060539561,0.0614052873908721,0.3194023411903201,0.2237320351363639,buffer_r8,hospital1
8,feathered,4,val,101,resnet50,1,0,9980,-0.1195139877576692,0.0266704241067014,0.413226703537275,0.2937127157796058,buffer_r8,hospital1
8,feathered,4,val,101,resnet50,1,3,9929,-0.0827260360042065,0.0549263175053689,0.4126350185389367,0.3299089825347301,buffer_r8,hospital1
8,feathered,4,val,101,resnet50,1,4,9973,-0.1236467343470027,-0.1159497234183205,0.4134751345915197,0.289828400244517,buffer_r8,hospital1
0,hard,0,val,11,resnet50,1,0,9980,-0.0980291280877244,0.130545179010076,0.4052681939062841,0.3072390658185597,hard_boundary,hospital1
0,hard,0,val,11,resnet50,1,3,9929,-0.0580157399880979,0.1398966598597118,0.4046339836108693,0.3466182436227713,hard_boundary,hospital1
0,hard,0,val,11,resnet50,1,4,9973,-0.1171967582674292,0.0213974359287766,0.405160826844216,0.2879640685767868,hard_boundary,hospital1
0,hard,0,val,42,resnet50,1,0,9980,-0.0984972802482083,0.089243987054404,0.3389465422403571,0.2404492619921488,hard_boundary,hospital1
0,hard,0,val,42,resnet50,1,3,9929,-0.0557197072719925,0.1397392702230272,0.3388904477820131,0.2831707405100206,hard_boundary,hospital1
0,hard,0,val,42,resnet50,1,4,9973,-0.0794672209994444,0.0903732647343798,0.3390987593940638,0.2596315383946194,hard_boundary,hospital1
0,hard,0,val,101,resnet50,1,0,9980,-0.1050155886307519,0.0540217852203181,0.4469118888978819,0.3418963002671299,hard_boundary,hospital1
0,hard,0,val,101,resnet50,1,3,9929,-0.0590837547814373,0.0945477921064451,0.4462388984901543,0.387155143708717,hard_boundary,hospital1
0,hard,0,val,101,resnet50,1,4,9973,-0.1085916843968691,-0.1264853084966507,0.4472137805807915,0.3386220961839223,hard_boundary,hospital1
