source_split,seed,backbone,source_hospital,target_hospital,metric,status,n,draws,estimate,ci_lower,ci_upper,standard_error,confidence,cluster_columns,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit
val,11,resnet50,1,0,hcs,complete,29940,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,0,hce,complete,29940,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,3,hcs,complete,29787,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,3,hce,complete,29787,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,4,hcs,complete,29919,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,4,hce,complete,29919,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,0,hcs,complete,29940,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,0,hce,complete,29940,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,3,hcs,complete,29787,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,3,hce,complete,29787,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,4,hcs,complete,29919,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,4,hce,complete,29919,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,0,hcs,complete,29940,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,0,hce,complete,29940,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,3,hcs,complete,29787,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,3,hce,complete,29787,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,4,hcs,complete,29919,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,4,hce,complete,29919,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
